type,setup,punchline,id
programming,How do you generate a random string?,Put a Windows user in front of Vim and tell them to exit.,405
general,Bad at golf?,Join the club.,79
general,What is a tornado's favorite game to play?,Twister!,240
knock-knock,"Knock knock. 
 Who's there? 
 A broken pencil. 
 A broken pencil who?",Never mind. It's pointless.,11
general,Which side of the chicken has more feathers?,The outside.,295
general,What do you call a laughing motorcycle?,A Yamahahahaha.,20
general,What is a vampire's favorite fruit?,A blood orange.,241
general,What do you call a fly without wings?,A walk.,206
general,How many hipsters does it take to change a lightbulb?,"Oh, it's a really obscure number. You've probably never heard of it.",139
general,Why did the chicken get a penalty?,For fowl play.,318
general,Where did you learn to make ice cream?,Sunday school.,283
general,Did you hear about the guy who invented Lifesavers?,They say he made a mint.,88
general,How do you fix a damaged jack-o-lantern?,You use a pumpkin patch.,123
general,What did the mountain climber name his son?,Cliff.,177
general,What do you call a droid that takes the long way around?,R2 detour.,201
general,What did one snowman say to the other snow man?,Do you smell carrot?,162
general,What did celery say when he broke up with his girlfriend?,"She wasn't right for me, so I really don't carrot all.",158
general,What do birds give out on Halloween?,Tweets.,187
general,What lies at the bottom of the ocean and twitches?,A nervous wreck.,258
general,Want to hear a joke about a piece of paper?,Never mind...it's tearable,39
general,What did the duck say when he bought lipstick?,Put it on my bill,29
general,"Due to complaints, Hawaii passed a law where you're not allowed to laugh above a certain decibel.",You can only use a low ha.,403
general,If you see a robbery at an Apple Store...,Does that make you an iWitness?,41
general,Do you know where you can get chicken broth in bulk?,The stock market.,106
general,What kind of award did the dentist receive?,A little plaque.,250
general,Is there a hole in your shoe?,No… Then how’d you get your foot in it?,147
general,Why couldn't the lifeguard save the hippie?,"He was too far out, man.",311
general,What happens when you anger a brain surgeon?,They will give you a piece of your mind.,237
general,Is the pool safe for diving?,It deep ends.,146
programming,"['hip', 'hip']",(hip hip array),26
general,Why did the burglar hang his mugshot on the wall?,To prove that he was framed!,317
general,What’s the advantage of living in Switzerland?,"Well, the flag is a big plus.",278
general,How do you tell the difference between a crocodile and an alligator?,You will see one later and one in a while.,131
general,Have you heard the rumor going around about butter?,"Never mind, I shouldn't spread it.",111
general,Want to hear a chimney joke?,Got stacks of em! First one's on the house,150
general,What do you do when you see a space man?,"Park your car, man.",227
general,Want to hear a joke about construction?,"Nah, I'm still working on it.",151
programming,Knock-knock.,A race condition. Who is there?,362
general,How many optometrists does it take to change a light bulb?,1 or 2? 1... or 2?,141
general,Who is the coolest Doctor in the hospital?,The hip Doctor!,297
general,How do you get a baby alien to sleep?,You rocket.,124
general,What does the mermaid wear to math class?,Algae-bra.,393
general,A ham sandwhich walks into a bar and orders a beer. The bartender says...,"I'm sorry, we don't serve food here",42
knock-knock,"Knock knock. 
 Who's there? 
 Little old lady. 
 Little old lady who?",I didn't know you could yodel!,13
general,Why did the opera singer go sailing?,They wanted to hit the high Cs.,332
general,What do you do on a remote island?,Try and find the TV island it belongs to.,226
general,What do you call a pig that knows karate?,A pork chop!,212
general,Why can't bicycles stand on their own?,They are two tired,5
programming,Lady: How do I spread love in this cruel world?,Random Dude: [...💘],58
general,What does a clock do when it's hungry?,It goes back four seconds!,234
programming,Where do programmers like to hangout?,The Foo Bar.,17
general,What was a more important invention than the first telephone?,The second one.,262
general,What do you call a belt made out of watches?,A waist of time.,4
general,Why was the developer always calm?,Because they knew how to handle exceptions.,442
general,What do you call a cow on a trampoline?,A milk shake!,195
general,Why do mathematicians hate the U.S.?,Because it's indivisible.,348
programming,Which song would an exception sing?,Can't catch me - Avicii,32
general,What's Forrest Gump's password?,1Forrest1,3
general,Why are mummys scared of vacation?,They're afraid to unwind.,302
general,What do you call an old snowman?,Water.,221
general,Why did the melons plan a big wedding?,Because they cantaloupe!,330
general,How do the trees get on the internet?,They log on.,120
general,Why did the scarecrow win an award?,Because he was outstanding in his field.,430
general,Why do bananas have to put on sunscreen before they go to the beach?,Because they might peel!,340
general,Did you hear about the Viking who was reincarnated?,He was Bjorn again,392
general,What's the best thing about Switzerland?,"I don't know, but their flag is a big plus.",426
general,What do you call an alligator in a vest?,An in-vest-igator!,217
general,What do you call a bear with no teeth?,A gummy bear!,191
general,Where do bees go to the bathroom?,The BP station.,284
general,When do doctors get angry?,When they run out of patients.,280
general,What's blue and not very heavy?,Light blue.,265
general,What do you call a crowd of chess players bragging about their wins in a hotel lobby?,Chess nuts boasting in an open foyer.,197
general,Did you hear about the bread factory burning down?,They say the business is toast.,84
general,Did you hear about the Mexican train killer?,He had loco motives,91
general,Why couldn't the bicycle stand up by itself?,It was two-tired.,421
general,Did you know that protons have mass?,I didn't even know they were catholic.,103
general,Why do pumpkins sit on people’s porches?,They have no hands to knock on the door.,350
general,What’s E.T. short for?,He’s only got little legs.,276
general,How do you know if there’s an elephant under your bed?,Your head hits the ceiling!,126
general,What did Romans use to cut pizza before the rolling cutter was invented?,Lil Caesars,164
general,What did the Zen Buddist say to the hotdog vendor?,Make me one with everything.,186
general,What did the 0 say to the 8?,Nice belt.,165
general,What do you call a fake noodle?,An impasta.,203
general,What's the difference between a guitar and a fish?,"You can tune a guitar but you can't ""tuna""fish!",270
general,Why do trees seem suspicious on sunny days?,"Dunno, they're just a bit shady.",352
general,What is the difference between ignorance and apathy?,I don't know and I don't care.,244
general,What do you call a sheep with no legs?,A cloud.,215
general,Why did the cookie go to the doctor?, Because it was feeling crumbly.,434
general,Did you hear about the kidnapping at school?,"It's ok, he woke up.",90
general,What are the strongest days of the week?,Saturday and Sunday...the rest are weekdays.,154
general,Did you hear about the new restaurant on the moon?,"The food is great, but there’s just no atmosphere.",92
general,What is the least spoken language in the world?,Sign Language,247
general,Why did the invisible man turn down the job offer?,He couldn't see himself doing it,51
general,Why are fish easy to weigh?,Because they have their own scales.,298
general,I had a dream that I was a muffler last night.,I woke up exhausted!,53
general,Why did the coffee file a police report?,It got mugged.,319
programming,Why was the JavaScript developer sad?,He didn't know how to null his feelings.,420
general,Why don't you find hippopotamuses hiding in trees?,They're really good at it.,180
general,"Why can't you use ""Beef stew""as a password?",Because it's not stroganoff.,307
general,Can I watch the TV?,"Yes, but don’t turn it on.",82
general,What's the difference between a hippo and a zippo?,"One is really heavy, the other is a little lighter.",271
general,Why are “Dad Jokes” so good?,Because the punchline is apparent.,375
general,The Sergeant-Major growled at the young soldier: I didn’t see you at camouflage training this morning.,"Thank you very much, sir.",387
general,Why did the chicken cross the playground?,To get to the other slide.,428
general,How does a scientist freshen their breath?,With experi-mints!,135
programming,What’s the object-oriented way to become wealthy?,Inheritance.,371
programming,Why do Java programmers wear glasses?,Because they don't C#.,34
general,What did the ocean say to the beach?,Thanks for all the sediment.,178
general,How good are you at Power Point?,I Excel at it.,128
general,Why did the golfer bring two pairs of pants?,In case he got a hole in one.,427
general,Where do you learn to make banana splits?,At sundae school.,288
programming,How many programmers does it take to change a lightbulb?,None that's a hardware problem,24
general,Why did the rooster cross the road?,He heard that the chickens at KFC were pretty hot.,391
general,What is a witch's favorite subject in school?,Spelling!,242
general,How does a train eat?,"It goes chew, chew",6
general,what do you call a dog that can do magic tricks?,a labracadabrador,200
general,What did the Dorito farmer say to the other Dorito farmer?,Cool Ranch!,171
general,How do you fix a broken pizza?,With tomato paste.,122
general,What did the late tomato say to the early tomato?,I’ll ketch up,175
general,Why did the octopus beat the shark in a fight?,Because it was well armed.,331
general,What do you call a duck that gets all A's?,A wise quacker.,202
general,What do you call a thieving alligator?,A crookodile!,451
programming,Why do programmers always get Christmas and Halloween mixed up?,Because DEC 25 = OCT 31,382
programming,I was gonna tell you a joke about UDP...,...but you might not get it.,71
general,Want to hear my pizza joke?,"Never mind, it's too cheesy.",152
general,"Hey, dad, did you get a haircut?","No, I got them all cut.",76
general,What did Michael Jackson name his denim store?,Billy Jeans!,159
general,How was the snow globe feeling after the storm?,A little shaken.,145
programming,An IPv6 packet is walking out of the house.,He goes nowhere.,367
general,What’s Forest Gump’s Facebook password?,1forest1,277
programming,There are 10 types of people in this world...,Those who understand binary and those who don't,28
general,Did you hear about the guy whose whole left side was cut off?,He's all right now.,89
knock-knock,"Knock knock. 
 Who's there? 
 Hatch. 
 Hatch who?",Bless you!,60
general,What do you give a sick lemon?,Lemonaid.,233
general,Why did the man run around his bed?,Because he was trying to catch up on his sleep!,329
programming,Why do C# and Java developers keep breaking their keyboards?,Because they use a strongly typed language.,73
general,Why don't oysters give to charity?,Because they're shellfish.,432
general,I bought some shoes from a drug dealer.,"I don't know what he laced them with, but I was tripping all day!",47
general,What do you get when you cross a chicken with a skunk?,A fowl smell!,230
programming,Why did the developer break up with their keyboard?,It just wasn't their type anymore.,447
general,Why can’t you hear a pterodactyl go to the bathroom?,The p is silent.,309
general,What's the best time to go to the dentist?,Tooth hurty.,10
general,Why does a chicken coop only have two doors?,Because if it had four doors it would be a chicken sedan.,356
general,Why did the half blind man fall in the well?,Because he couldn't see that well!,325
general,What do you call a cow with no legs?,Ground beef!,56
general,Why did the house go to the doctor?,It was having window panes.,326
general,What do you call a group of disorganized cats?,A cat-tastrophe.,208
general,Why are ghosts bad liars?,Because you can see right through them!,300
general,What do you call an Argentinian with a rubber toe?,Roberto,218
general,Why was Cinderalla thrown out of the football team?,Because she ran away from the ball.,373
general,Where was the Declaration of Independence signed?,At the bottom! ,293
general,What do ghosts call their true love?,Their ghoul-friend,102
general,Why couldn't the kid see the pirate movie?,Because it was rated arrr!,310
general,Why did the math book look sad?,Because it had too many problems.,422
general,What animal is always at a game of cricket?,A bat.,153
programming,Why was the font always tired?,It was always bold.,443
programming,Why do programmers prefer dark chocolate?,Because it's bitter like their code.,416
general,Where does Fonzie like to go for lunch?,Chick-Fil-Eyyyyyyyy.,291
general,What biscuit does a short person like?,Shortbread. ,155
general,Did you hear about the scientist who was lab partners with a pot of boiling water?,He had a very esteemed colleague.,94
general,What do you get hanging from Apple trees?,Sore arms.,228
programming,Why did the programmer quit his job?,Because he didn't get arrays.,18
programming,A user interface is like a joke.,If you have to explain it then it is not that good.,59
programming,What's the best thing about a Boolean?,"Even if you're wrong, you're only off by a bit.",409
general,What do you call a dad that has fallen through the ice?,A Popsicle.,198
general,What kind of magic do cows believe in?,MOODOO.,254
programming,What did the Java code say to the C code?,You've got no class.,380
general,What do you call a nervous javelin thrower?,Shakespeare.,211
general,A grocery store cashier asked if I would like my milk in a bag.,"I told her 'No, thanks. The carton works fine.'",397
general,Ever wondered why bees hum?,It's because they don't know the words.,108
general,Why are graveyards so noisy?,Because of all the coffin.,301
general,Why do bees hum?,Because they don't know the words.,343
general,What did the shy pebble wish for?,That she was a little boulder.,184
general,What do you call cheese by itself?,Provolone.,222
general,What did the left eye say to the right eye?,"Between us, something smells!",176
general,Why does Waldo only wear stripes?,Because he doesn't want to be spotted.,388
general,Well...,That’s a deep subject.,64
general,What is this movie about?,It is about 2 hours long.,249
general,How do you organize a space party?,You planet.,129
general,How come the stadium got hot after the game?,Because all of the fans left.,115
programming,What's the best part about TCP jokes?,I get to keep telling them until you get them.,363
general,Why are oranges the smartest fruit?,Because they are made to concentrate. ,303
general,Why do valley girls hang out in odd numbered groups?,Because they can't even.,353
general,Do you want a brief explanation of what an acorn is?,"In a nutshell, it's an oak tree.",107
general,Why did the A go to the bathroom and come out as an E?,Because he had a vowel movement.,314
general,What do you call sad coffee?,Despresso.,61
general,What did the fish say when it swam into a wall?,Damn!,172
programming,Why did the developer go to therapy?,They had too many unresolved issues.,444
general,"You see, mountains aren't just funny.",They are hill areas.,400
general,Did you hear about the hungry clock?,It went back four seconds.,63
general,What time did the man go to the dentist?,Tooth hurt-y.,260
general,How come a man driving a train got struck by lightning?,He was a good conductor.,114
general,Why are pirates called pirates?,Because they arrr!,304
general,What kind of dinosaur loves to sleep?,A stega-snore-us.,252
general,What is a centipedes's favorite Beatle song?,"I want to hold your hand, hand, hand, hand...",239
general,What did the traffic light say to the car as it passed?,Don't look I'm changing!,185
general,Why did the golfer wear two pairs of pants?,In case he got a hole in one.,433
general,What do prisoners use to call each other?,Cell phones.,189
general,Have you ever heard of a music group called Cellophane?,They mostly wrap.,109
general,What do you call a monkey in a mine field?,A babooooom!,210
general,What did the spaghetti say to the other spaghetti?,"Pasta la vista, baby!",148
general,Why does Norway have barcodes on their battleships?,"So when they get back to port, they can Scandinavian.",359
dad,Why do fathers take an extra pair of socks when they go golfing?,In case they get a hole in one!,378
programming,Why did the developer go broke?,They kept spending all their cache.,438
programming,Why dot net developers don't wear glasses?,Because they see sharp.,376
programming,Why was the designer always cold?,Because they always used too much ice-olation.,445
general,Why is seven bigger than nine?,Because seven ate nine.,377
general,What is the hardest part about sky diving?,The ground.,245
general,What kind of pants do ghosts wear?,Boo jeans.,256
programming,Why would a guitarist become a good programmer?,He's adept at riffing in C#.,14
programming,"A SQL query walks into a bar, walks up to two tables and asks...",'Can I join you?',23
general,Why does a Moon-rock taste better than an Earth-rock?,Because it's a little meteor.,357
general,What do you call a girl between two posts?,Annette.,207
general,While I was sleeping my friends decided to write math equations on me.,You should have seen the expression on my face when I woke up.,402
general,What do you call an eagle who can play the piano?,Talonted!,219
programming,Why don't programmers like nature?,There's too many bugs.,419
general,Did you hear about the two silk worms in a race?,It ended in a tie.,19
general,I dropped a pear in my car this morning.,"You should drop another one, then you would have a pair.",57
general,Did you know you should always take an extra pair of pants golfing?,Just in case you get a hole in one.,104
general,What do you call a fashionable lawn statue with an excellent sense of rhythmn?,A metro-gnome,204
general,What do you call a pig with three eyes?,Piiig,213
general,What do you call someone with no nose?,Nobody knows.,224
general,What is the tallest building in the world?,"The library, it’s got the most stories!",248
general,What’s brown and sounds like a bell?,Dung!,275
general,What's orange and sounds like a parrot?,A Carrot.,267
programming,What's the best thing about a Boolean?,"Even if you're wrong, you're only off by a bit.",15
programming,Why did the programmer bring a ladder to work?,They heard the code needed to be debugged from a higher level.,441
general,What do you call a troublesome Canadian high schooler?,A poutine.,216
general,What do you call fake spaghetti?,An impasta.,450
general,What did the ocean say to the shore?,"Nothing, it just waved.",179
general,Where do young cows eat lunch?,In the calf-ateria.,289
general,Why do wizards clean their teeth three times a day?,To prevent bat breath!,354
general,What do you call corn that joins the army?,Kernel.,223
programming,"If you put a million monkeys at a million keyboards, one of them will eventually write a Java program",the rest of them will write Perl,25
general,A termite walks into a bar and says...,'Where is the bar tended?',21
general,What kind of music do welders like?,Heavy metal.,374
programming,Why did the developer quit his job?,Because he didn't get arrays.,408
general,Why did the tomato blush?,Because it saw the salad dressing.,334
general,Did you watch the new comic book movie?,It was very graphic!,66
general,How many apples grow on a tree?,All of them!,137
general,What is red and smells like blue paint?,Red paint!,243
programming,What is the most used language in programming?,Profanity.,381
programming,Why did the programmer quit their job?,They didn't get arrays.,437
general,Where do sheep go to get their hair cut?,The baa-baa shop.,287
general,What creature is smarter than a talking parrot?,A spelling bee.,157
programming,A DHCP packet walks into a bar and asks for a beer.,"Bartender says, ""here, but I’ll need that back in an hour!""",368
general,Why do pirates not know the alphabet?,"They always get stuck at ""C"".",349
general,I couldn't get a reservation at the library...,They were fully booked.,70
